Num	Gene_ID
1	ENSG00000000419
2	ENSG00000001036
3	ENSG00000001084
4	ENSG00000001630
5	ENSG00000002549
6	ENSG00000002726
7	ENSG00000003137
8	ENSG00000003989
9	ENSG00000004455
10	ENSG00000004864
11	ENSG00000004939
12	ENSG00000005022
13	ENSG00000005075
14	ENSG00000005249
15	ENSG00000005381
16	ENSG00000005421
17	ENSG00000005469
18	ENSG00000005483
19	ENSG00000005882
20	ENSG00000006625
21	ENSG00000006757
22	ENSG00000007001
23	ENSG00000007047
24	ENSG00000007168
25	ENSG00000007171
26	ENSG00000007264
27	ENSG00000007350
28	ENSG00000008128
29	ENSG00000008130
30	ENSG00000008311
31	ENSG00000008394
32	ENSG00000010256
33	ENSG00000010404
34	ENSG00000010810
35	ENSG00000011009
36	ENSG00000011052
37	ENSG00000011083
38	ENSG00000011485
39	ENSG00000011566
40	ENSG00000012232
41	ENSG00000012660
42	ENSG00000012779
43	ENSG00000012983
44	ENSG00000013375
45	ENSG00000013392
46	ENSG00000013441
47	ENSG00000013503
48	ENSG00000014138
49	ENSG00000014641
50	ENSG00000015413
51	ENSG00000015520
52	ENSG00000015532
53	ENSG00000016864
54	ENSG00000017260
55	ENSG00000017483
56	ENSG00000017797
57	ENSG00000018280
58	ENSG00000018510
59	ENSG00000019186
60	ENSG00000021461
61	ENSG00000023041
62	ENSG00000023330
63	ENSG00000023697
64	ENSG00000023909
65	ENSG00000025423
66	ENSG00000025800
67	ENSG00000027847
68	ENSG00000028116
69	ENSG00000030066
70	ENSG00000030304
71	ENSG00000031698
72	ENSG00000032444
73	ENSG00000033011
74	ENSG00000033100
75	ENSG00000033170
76	ENSG00000033867
77	ENSG00000034152
78	ENSG00000035687
79	ENSG00000036565
80	ENSG00000037757
81	ENSG00000038002
82	ENSG00000038210
83	ENSG00000038274
84	ENSG00000039123
85	ENSG00000040933
86	ENSG00000044446
87	ENSG00000047230
88	ENSG00000047249
89	ENSG00000047315
90	ENSG00000047410
91	ENSG00000047936
92	ENSG00000048392
93	ENSG00000049860
94	ENSG00000050748
95	ENSG00000051382
96	ENSG00000052802
97	ENSG00000053371
98	ENSG00000054148
99	ENSG00000054179
100	ENSG00000054983
101	ENSG00000055332
102	ENSG00000056998
103	ENSG00000058091
104	ENSG00000058600
105	ENSG00000058729
106	ENSG00000058804
107	ENSG00000059573
108	ENSG00000059758
109	ENSG00000059804
110	ENSG00000060069
111	ENSG00000060642
112	ENSG00000060656
113	ENSG00000060762
114	ENSG00000060971
115	ENSG00000060982
116	ENSG00000062485
117	ENSG00000062822
118	ENSG00000063176
119	ENSG00000063601
120	ENSG00000063854
121	ENSG00000064601
122	ENSG00000064763
123	ENSG00000065154
124	ENSG00000065243
125	ENSG00000065361
126	ENSG00000065427
127	ENSG00000065559
128	ENSG00000065613
129	ENSG00000065675
130	ENSG00000065833
131	ENSG00000065911
132	ENSG00000066322
133	ENSG00000066379
134	ENSG00000066468
135	ENSG00000066926
136	ENSG00000067057
137	ENSG00000067064
138	ENSG00000067113
139	ENSG00000067225
140	ENSG00000067606
141	ENSG00000067829
142	ENSG00000067840
143	ENSG00000067900
144	ENSG00000068001
145	ENSG00000068078
146	ENSG00000068120
147	ENSG00000068366
148	ENSG00000068383
149	ENSG00000068654
150	ENSG00000068745
151	ENSG00000068976
152	ENSG00000069248
153	ENSG00000069535
154	ENSG00000069764
155	ENSG00000069943
156	ENSG00000069956
157	ENSG00000070019
158	ENSG00000070501
159	ENSG00000070610
160	ENSG00000070614
161	ENSG00000070669
162	ENSG00000070759
163	ENSG00000070770
164	ENSG00000070961
165	ENSG00000071054
166	ENSG00000071242
167	ENSG00000071553
168	ENSG00000071967
169	ENSG00000072041
170	ENSG00000072042
171	ENSG00000072062
172	ENSG00000072135
173	ENSG00000072310
174	ENSG00000072506
175	ENSG00000072518
176	ENSG00000072756
177	ENSG00000072778
178	ENSG00000073060
179	ENSG00000073578
180	ENSG00000073711
181	ENSG00000073734
182	ENSG00000073737
183	ENSG00000073849
184	ENSG00000074370
185	ENSG00000074590
186	ENSG00000074621
187	ENSG00000074696
188	ENSG00000074800
189	ENSG00000074966
190	ENSG00000075188
191	ENSG00000075239
192	ENSG00000075413
193	ENSG00000075415
194	ENSG00000075673
195	ENSG00000076201
196	ENSG00000076351
197	ENSG00000076685
198	ENSG00000076984
199	ENSG00000077009
200	ENSG00000077463
201	ENSG00000077498
202	ENSG00000077514
203	ENSG00000077782
204	ENSG00000078061
205	ENSG00000078070
206	ENSG00000079215
207	ENSG00000079335
208	ENSG00000079435
209	ENSG00000079459
210	ENSG00000079462
211	ENSG00000079739
212	ENSG00000080511
213	ENSG00000080819
214	ENSG00000081181
215	ENSG00000081237
216	ENSG00000081320
217	ENSG00000081377
218	ENSG00000081721
219	ENSG00000081800
220	ENSG00000081913
221	ENSG00000083123
222	ENSG00000083223
223	ENSG00000083720
224	ENSG00000084090
225	ENSG00000084207
226	ENSG00000084754
227	ENSG00000084774
228	ENSG00000085231
229	ENSG00000085415
230	ENSG00000085511
231	ENSG00000085662
232	ENSG00000085871
233	ENSG00000085998
234	ENSG00000086015
235	ENSG00000086062
236	ENSG00000086159
237	ENSG00000086232
238	ENSG00000086544
239	ENSG00000086848
240	ENSG00000087008
241	ENSG00000087053
242	ENSG00000087076
243	ENSG00000087095
244	ENSG00000087157
245	ENSG00000087470
246	ENSG00000087586
247	ENSG00000088035
248	ENSG00000088766
249	ENSG00000088826
250	ENSG00000089057
251	ENSG00000089597
252	ENSG00000090013
253	ENSG00000090020
254	ENSG00000090054
255	ENSG00000090060
256	ENSG00000090402
257	ENSG00000090661
258	ENSG00000090857
259	ENSG00000090861
260	ENSG00000090971
261	ENSG00000091138
262	ENSG00000091140
263	ENSG00000091483
264	ENSG00000092068
265	ENSG00000092445
266	ENSG00000092621
267	ENSG00000092964
268	ENSG00000093000
269	ENSG00000093010
270	ENSG00000093072
271	ENSG00000094841
272	ENSG00000094914
273	ENSG00000095015
274	ENSG00000095059
275	ENSG00000095139
276	ENSG00000095303
277	ENSG00000095319
278	ENSG00000095321
279	ENSG00000095380
280	ENSG00000095464
281	ENSG00000095596
282	ENSG00000096006
283	ENSG00000096063
284	ENSG00000096717
285	ENSG00000097007
286	ENSG00000097021
287	ENSG00000097033
288	ENSG00000097046
289	ENSG00000099194
290	ENSG00000099377
291	ENSG00000099381
292	ENSG00000099624
293	ENSG00000099797
294	ENSG00000099810
295	ENSG00000099817
296	ENSG00000099821
297	ENSG00000099875
298	ENSG00000099904
299	ENSG00000100030
300	ENSG00000100031
301	ENSG00000100033
302	ENSG00000100075
303	ENSG00000100078
304	ENSG00000100092
305	ENSG00000100101
306	ENSG00000100116
307	ENSG00000100121
308	ENSG00000100142
309	ENSG00000100170
310	ENSG00000100243
311	ENSG00000100288
312	ENSG00000100292
313	ENSG00000100294
314	ENSG00000100299
315	ENSG00000100344
316	ENSG00000100348
317	ENSG00000100372
318	ENSG00000100412
319	ENSG00000100413
320	ENSG00000100417
321	ENSG00000100422
322	ENSG00000100448
323	ENSG00000100504
324	ENSG00000100522
325	ENSG00000100526
326	ENSG00000100554
327	ENSG00000100577
328	ENSG00000100596
329	ENSG00000100600
330	ENSG00000100605
331	ENSG00000100644
332	ENSG00000100652
333	ENSG00000100714
334	ENSG00000100749
335	ENSG00000100889
336	ENSG00000100938
337	ENSG00000100979
338	ENSG00000100983
339	ENSG00000100994
